Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Unité,Valeur,Symbole,Description du Symbole
"GT,""Agriculture total"",""2"",""Afghanistan"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""586084.7"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""202"",""Afrique du Sud"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""1590319.64"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""3"",""Albanie"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""157959.07"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""4"",""Algérie"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""394316.94"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""79"",""Allemagne"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""3947266.3"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""6"",""Andorre"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""0"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""7"",""Angola"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""996125.55"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""258"",""Anguilla"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""0"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""8"",""Antigua-et-Barbuda"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""1698.97"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""151"",""Antilles néerlandaises (ex)"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""604.37"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""194"",""Arabie saoudite"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""219277.93"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""9"",""Argentine"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""6057665.14"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
"GT,""Agriculture total"",""1"",""Arménie"",""7231"",""Émissions (CO2eq)"",""1711"",""Agriculture total"",""gigagrammes"",""33164.24"",""A"",""Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"""
